,hour_of_day,country,device_type,login_success,sessions_per_hour
228,20,US,mobile,True,6
229,16,UK,mobile,True,5
230,19,CA,mobile,True,1
231,13,UK,mobile,True,4
232,15,CA,desktop,True,1
233,13,UK,mobile,True,5
234,8,UK,desktop,True,5
235,18,US,mobile,True,3
236,9,CA,desktop,True,4
237,1,CA,mobile,True,3
238,17,US,desktop,True,9
239,8,US,mobile,True,2
240,21,AU,mobile,False,2
241,22,UK,mobile,True,3
242,21,UK,mobile,True,4
243,11,FR,mobile,False,4
244,0,CA,mobile,True,3
245,21,UK,tablet,True,2
246,12,DE,mobile,True,2
247,22,FR,desktop,True,5
248,22,UK,tablet,True,1
249,20,UK,mobile,True,3
250,10,US,desktop,True,7
251,11,AU,mobile,True,3
252,20,CA,mobile,True,4
253,10,US,mobile,True,2
254,8,FR,desktop,True,6
255,15,UK,mobile,True,1
256,21,US,mobile,True,0
257,17,UK,mobile,True,2
258,15,UK,desktop,True,4
259,6,FR,mobile,True,3
260,16,US,desktop,True,6
261,23,DE,desktop,True,2
262,7,UK,desktop,True,10
263,14,US,desktop,True,2
264,20,AU,desktop,True,6
265,18,UK,mobile,True,2
266,17,US,mobile,True,3
267,18,UK,mobile,True,1
268,11,FR,mobile,True,0
269,10,US,mobile,True,3
270,19,US,mobile,True,3
271,19,US,mobile,True,5
272,20,US,tablet,True,0
273,21,DE,mobile,True,3
274,14,UK,desktop,True,6
275,13,US,mobile,True,2
276,19,US,desktop,True,4
277,17,US,desktop,True,5
278,18,FR,mobile,True,3
279,19,US,mobile,False,1
280,20,AU,mobile,True,3
281,10,UK,mobile,True,4
282,11,US,desktop,True,4
283,6,FR,desktop,True,5
284,15,UK,mobile,True,3
285,2,CA,mobile,True,2
286,13,AU,mobile,True,1
287,14,US,mobile,True,1
288,9,US,desktop,True,5
289,16,CA,mobile,False,3
290,2,US,mobile,True,3
291,2,US,mobile,True,0
292,19,US,mobile,True,4
293,11,US,desktop,True,5
294,7,DE,mobile,True,5
295,14,US,tablet,True,3
296,18,UK,desktop,True,5
297,9,CA,mobile,True,2
298,16,UK,mobile,True,5
299,6,US,desktop,True,1
300,4,DE,desktop,False,2
301,14,US,desktop,True,6
302,14,DE,mobile,True,1
303,16,FR,tablet,True,1
304,18,UK,mobile,True,2
305,22,UK,desktop,True,6
306,14,UK,desktop,True,10
307,10,US,mobile,True,5
308,19,FR,desktop,True,4
309,9,FR,mobile,True,3
310,12,US,tablet,False,3
311,5,CA,mobile,True,4
312,1,FR,tablet,True,5
313,22,AU,mobile,True,3
314,19,UK,desktop,True,3
315,17,UK,mobile,True,3
316,12,US,mobile,True,4
317,8,AU,mobile,True,2
318,8,US,desktop,True,4
319,9,UK,mobile,True,2
320,14,US,mobile,True,1
321,18,US,mobile,True,8
322,17,UK,tablet,True,1
323,9,AU,mobile,True,3
324,22,US,mobile,True,1
325,18,UK,mobile,True,3
326,15,US,mobile,True,6
327,16,US,mobile,True,3
328,12,UK,mobile,False,2
329,9,UK,desktop,True,4
330,11,US,desktop,True,7
331,18,US,mobile,True,4
332,0,US,mobile,True,3
333,7,US,desktop,True,7
334,3,AU,mobile,True,5
335,3,FR,desktop,True,4
336,20,US,mobile,True,3
337,18,UK,mobile,True,3
338,13,FR,mobile,True,5
339,6,US,desktop,True,7
340,13,DE,mobile,True,6
341,13,FR,mobile,True,4
342,8,US,mobile,True,1
343,12,US,desktop,True,5
344,11,AU,desktop,True,6
345,16,UK,mobile,True,2
346,16,US,mobile,True,5
347,3,US,desktop,True,8
348,11,UK,mobile,True,2
349,16,CA,mobile,True,1
350,13,CA,mobile,True,4
351,20,AU,desktop,True,5
352,17,US,mobile,True,4
353,8,UK,desktop,True,3
354,5,UK,mobile,True,3
355,17,UK,mobile,True,6
356,1,US,desktop,True,4
357,15,AU,mobile,True,1
358,21,FR,mobile,True,4
359,15,UK,desktop,True,0
360,11,CA,desktop,True,8
361,17,US,desktop,True,2
362,12,UK,tablet,True,4
363,14,CA,desktop,True,3
364,21,UK,mobile,True,5
365,11,AU,mobile,True,2
366,22,CA,desktop,True,1
367,20,US,mobile,True,5
368,8,DE,desktop,True,7
369,5,US,desktop,True,5
370,6,US,mobile,True,2
371,0,US,desktop,True,3
372,6,UK,mobile,True,2
373,17,DE,mobile,True,1
374,5,UK,tablet,True,3
375,10,DE,mobile,True,3
376,19,UK,mobile,True,3
377,1,US,mobile,True,0
378,19,DE,desktop,True,9
379,9,US,desktop,True,7
380,7,US,desktop,True,6
381,17,UK,desktop,True,6
382,16,US,mobile,True,3
383,20,US,desktop,True,5
384,18,CA,desktop,True,6
385,19,UK,mobile,True,3
386,9,UK,mobile,True,1
387,8,AU,tablet,True,0
388,18,UK,desktop,True,7
389,19,FR,desktop,True,4
390,23,US,desktop,True,4
391,12,UK,mobile,True,1
392,11,FR,desktop,True,0
393,18,UK,mobile,True,0
394,10,CA,mobile,True,4
395,21,US,desktop,True,3
396,20,US,mobile,True,3
397,12,UK,desktop,True,4
398,18,US,mobile,True,1
399,18,FR,mobile,True,4
400,6,US,mobile,True,7
401,20,AU,mobile,True,1
402,13,AU,mobile,True,0
403,19,US,mobile,True,2
404,10,US,tablet,True,4
405,20,FR,mobile,True,2
406,11,AU,mobile,True,3
407,0,UK,mobile,True,3
408,20,US,desktop,True,9
409,6,UK,mobile,True,3
410,10,CA,desktop,True,3
411,22,US,desktop,True,2
412,22,CA,mobile,True,4
413,15,US,mobile,True,2
414,16,US,desktop,True,5
415,12,US,desktop,True,3
416,10,US,desktop,True,6
417,10,US,mobile,True,5
418,17,UK,mobile,True,3
419,18,US,mobile,True,3
420,19,US,mobile,True,7
421,19,US,mobile,True,4
422,6,AU,desktop,True,8
423,13,UK,mobile,True,4
424,4,UK,desktop,True,3
425,14,UK,desktop,True,4
426,12,AU,mobile,True,6
427,20,US,desktop,True,11
428,11,CA,mobile,True,0
429,7,CA,desktop,True,8
430,7,CA,mobile,True,3
431,18,US,mobile,False,1
432,16,CA,desktop,True,6
433,6,US,mobile,True,0
434,6,UK,desktop,True,0
435,18,CA,mobile,True,4
436,5,US,mobile,True,6
437,19,DE,mobile,True,3
438,18,US,mobile,True,3
439,6,DE,mobile,True,0
440,6,UK,desktop,True,6
441,23,US,desktop,True,4
442,11,US,desktop,True,4
443,11,AU,tablet,True,2
444,19,US,mobile,True,2
445,21,US,desktop,True,3
446,23,US,mobile,True,1
447,18,CA,desktop,True,5
448,11,UK,mobile,True,2
449,6,US,tablet,True,3
450,18,US,desktop,True,6
451,15,US,tablet,True,3
452,12,US,desktop,False,2
453,20,UK,desktop,True,5
454,7,CA,desktop,True,5
455,13,US,mobile,True,4
456,0,US,mobile,True,4
457,13,US,mobile,True,1
458,4,AU,mobile,True,0
459,7,AU,mobile,True,4
460,7,DE,mobile,True,2
461,17,US,mobile,True,7
462,18,US,tablet,True,1
463,15,US,desktop,True,5
464,22,US,mobile,True,1
465,11,UK,mobile,True,4
466,9,DE,mobile,True,3
467,20,FR,mobile,True,4
468,9,DE,desktop,True,6
469,22,US,mobile,True,2
470,0,CA,mobile,True,0
471,22,US,desktop,True,5
472,3,US,desktop,True,10
473,20,CA,mobile,True,3
474,14,US,desktop,True,1
475,23,UK,mobile,True,1
476,5,US,mobile,True,6
477,15,CA,mobile,True,2
478,22,DE,mobile,False,2
479,14,US,mobile,True,5
480,16,DE,mobile,True,4
481,17,US,desktop,True,1
482,12,UK,desktop,True,4
483,16,CA,mobile,True,8
484,15,CA,mobile,True,5
485,20,AU,desktop,True,9
486,3,US,mobile,True,7
487,9,CA,desktop,True,7
488,22,CA,desktop,True,4
489,20,FR,mobile,True,3
490,12,US,mobile,True,6
491,16,DE,mobile,True,2
492,9,UK,mobile,True,6
493,8,US,mobile,True,6
494,13,UK,desktop,True,5
495,11,US,mobile,True,5
496,15,UK,mobile,True,4
497,5,FR,mobile,True,2
498,22,UK,mobile,True,2
499,23,CA,mobile,True,6
500,17,UK,mobile,False,5
501,14,US,mobile,True,2
502,10,US,desktop,True,4
503,19,UK,mobile,True,4
504,17,US,desktop,True,6
505,8,US,mobile,True,3
506,21,UK,mobile,True,6
507,19,US,mobile,True,3
508,21,US,desktop,True,4
509,18,UK,mobile,True,4
510,16,US,mobile,True,4
511,12,FR,mobile,True,4
512,21,FR,mobile,True,5
513,20,CA,mobile,True,0
514,3,US,desktop,True,5
515,1,DE,mobile,True,1
516,11,DE,desktop,True,6
517,19,DE,mobile,True,10
518,23,US,desktop,True,5
519,8,CA,desktop,True,6
520,16,DE,mobile,True,2
521,11,UK,desktop,False,6
522,22,CA,desktop,True,10
523,19,UK,mobile,True,4
524,19,UK,mobile,True,4
525,13,US,desktop,True,6
526,12,CA,mobile,True,6
527,9,US,mobile,True,2
528,4,UK,desktop,True,7
529,20,US,mobile,True,2
530,19,UK,desktop,True,4
531,23,US,desktop,True,6
532,23,CA,tablet,True,3
533,15,DE,mobile,True,4
534,18,US,mobile,True,4
535,21,US,mobile,True,3
536,19,US,mobile,True,2
537,9,FR,mobile,True,2
538,12,UK,mobile,True,2
539,7,UK,mobile,True,1
540,22,US,mobile,True,2
541,16,CA,desktop,True,8
542,9,FR,desktop,True,4
543,17,DE,desktop,True,5
544,16,CA,desktop,True,6
545,11,US,mobile,True,5
546,7,US,tablet,True,1
547,17,US,desktop,True,6
548,14,US,mobile,True,6
549,18,US,mobile,True,3
550,14,US,mobile,True,3
551,20,US,mobile,True,1
552,15,FR,mobile,True,2
553,15,CA,mobile,True,0
554,20,DE,desktop,True,7
555,12,CA,mobile,True,4
556,7,US,mobile,True,5
557,1,CA,desktop,True,3
558,18,US,mobile,True,6
559,16,CA,tablet,True,3
560,18,US,mobile,True,3
561,9,AU,tablet,True,1
562,7,US,mobile,True,5
563,0,US,mobile,True,2
564,11,FR,mobile,True,4
565,15,US,desktop,True,6
566,11,CA,desktop,True,12
567,12,CA,mobile,True,5
568,20,DE,desktop,True,4
569,10,AU,mobile,True,6
570,14,AU,desktop,True,6
571,19,US,desktop,True,4
572,11,DE,mobile,True,2
573,16,CA,mobile,True,5
574,20,CA,desktop,True,8
575,21,US,desktop,True,6
576,7,CA,tablet,True,1
577,21,AU,desktop,True,4
578,13,FR,mobile,True,5
579,9,UK,desktop,True,4
580,12,US,mobile,True,2
581,23,US,tablet,True,3
582,13,DE,mobile,True,1
583,10,CA,mobile,True,0
584,16,UK,mobile,True,2
585,9,US,mobile,True,3
586,5,UK,mobile,True,3
587,7,UK,desktop,True,3
588,7,FR,desktop,True,5
589,8,CA,mobile,True,2
590,7,US,desktop,True,6
591,17,UK,desktop,True,6
592,8,US,mobile,True,3
593,10,AU,mobile,True,1
594,20,US,desktop,True,2
595,13,UK,desktop,True,5
596,17,US,mobile,True,1
597,8,CA,desktop,True,3
598,8,CA,mobile,True,3
599,3,CA,mobile,True,4
600,8,US,mobile,True,5
601,9,US,mobile,False,8
602,8,US,desktop,True,5
603,6,CA,desktop,True,7
604,7,US,mobile,True,3
605,13,UK,mobile,True,1
606,8,FR,desktop,True,4
607,11,FR,desktop,True,3
608,13,UK,desktop,True,5
609,17,UK,desktop,True,4
610,2,US,mobile,True,3
611,19,CA,desktop,True,7
612,16,DE,mobile,True,2
613,6,US,mobile,True,3
614,20,UK,mobile,True,4
615,21,DE,mobile,True,6
616,5,FR,desktop,True,4
617,9,US,desktop,True,7
618,19,UK,mobile,False,3
619,18,US,mobile,True,4
620,8,US,mobile,True,6
621,8,FR,mobile,True,2
622,11,DE,desktop,True,7
623,13,DE,desktop,True,6
624,16,US,tablet,True,1
625,11,DE,desktop,True,1
626,13,UK,desktop,True,5
627,18,US,mobile,True,4
628,2,UK,mobile,True,5
629,9,US,mobile,True,1
630,18,DE,mobile,True,7
631,20,UK,desktop,True,3
632,14,US,mobile,False,2
633,14,US,mobile,True,3
634,6,US,mobile,True,4
635,12,US,tablet,True,3
636,14,UK,mobile,True,4
637,9,DE,desktop,True,7
638,9,US,desktop,True,7
639,11,US,mobile,True,3
640,1,UK,mobile,True,1
641,10,DE,desktop,True,5
642,9,US,mobile,True,4
643,10,US,desktop,True,5
644,7,UK,mobile,True,6
645,20,US,mobile,True,3
646,16,US,desktop,True,7
647,17,CA,desktop,True,5
648,19,CA,tablet,True,1
649,13,UK,desktop,True,2
650,6,CA,desktop,True,5
651,14,CA,desktop,True,6
652,15,US,desktop,True,3
653,18,US,mobile,True,6
654,12,US,mobile,True,1
655,7,US,desktop,True,5
656,9,CA,mobile,True,1
657,11,FR,mobile,False,1
658,17,AU,mobile,True,4
659,15,CA,mobile,True,3
660,11,US,mobile,True,1
661,23,US,mobile,True,2
662,16,DE,desktop,True,4
663,9,UK,mobile,True,2
664,6,CA,mobile,True,3
665,8,DE,mobile,True,4
666,9,CA,mobile,True,7
667,8,DE,mobile,True,2
668,8,US,desktop,True,2
669,9,CA,mobile,True,0
670,8,FR,desktop,True,6
671,20,US,mobile,True,6
672,6,CA,mobile,True,2
673,14,US,mobile,True,1
674,12,AU,mobile,True,2
675,23,US,desktop,True,5
676,7,UK,desktop,True,5
677,11,US,desktop,True,0
678,22,CA,mobile,True,6
679,20,US,mobile,True,3
680,19,US,mobile,True,1
681,9,UK,tablet,True,3
682,8,FR,mobile,True,4
683,17,US,desktop,True,7
684,21,US,mobile,True,5
685,15,DE,mobile,True,1
686,15,UK,mobile,True,2
687,9,FR,mobile,True,7
688,18,US,desktop,True,1
689,8,CA,mobile,True,3
690,10,US,desktop,True,9
691,12,US,mobile,True,2
692,13,CA,tablet,True,2
693,9,UK,mobile,True,4
694,7,DE,desktop,True,5
695,16,US,desktop,True,2
696,9,UK,tablet,True,2
697,15,UK,mobile,True,3
698,8,AU,desktop,True,5
699,13,US,mobile,True,2
700,14,US,mobile,True,6
701,4,US,mobile,True,1
702,10,UK,mobile,True,4
703,7,US,tablet,True,3
704,5,FR,mobile,True,2
705,23,US,mobile,True,3
706,10,FR,desktop,True,5
707,19,US,mobile,True,5
708,9,CA,desktop,True,3
709,17,FR,mobile,True,3
710,18,US,mobile,True,3
711,16,AU,mobile,True,4
712,13,UK,desktop,True,3
713,12,FR,desktop,True,3
714,10,CA,tablet,True,2
715,21,US,mobile,True,0
716,19,US,mobile,True,3
717,22,US,mobile,True,3
718,7,US,mobile,True,7
719,18,US,mobile,True,3
720,21,US,desktop,True,7
721,8,UK,mobile,True,2
722,5,DE,mobile,True,1
723,18,US,desktop,True,4
724,15,US,desktop,True,4
725,19,CA,mobile,True,2
726,7,US,mobile,True,3
727,19,US,mobile,True,6
728,8,US,mobile,True,2
729,8,FR,desktop,True,7
730,8,DE,mobile,True,2
731,19,US,desktop,True,4
732,17,CA,desktop,True,4
733,14,UK,desktop,True,5
734,11,CA,mobile,True,1
735,20,CA,mobile,True,1
736,11,CA,desktop,True,3
737,19,US,mobile,True,6
738,12,US,mobile,True,5
739,11,UK,mobile,True,3
740,13,FR,mobile,True,3
741,10,UK,desktop,True,3
742,18,DE,mobile,True,2
743,13,AU,mobile,True,3
744,9,US,mobile,True,5
745,20,CA,mobile,True,6
746,11,CA,desktop,True,8
747,14,AU,desktop,True,3
748,20,AU,mobile,True,3
749,16,CA,mobile,True,4
750,7,US,mobile,True,2
751,21,DE,desktop,True,2
752,16,US,mobile,True,1
753,10,DE,desktop,True,7
754,7,FR,mobile,True,5
755,19,US,desktop,True,4
756,16,CA,mobile,True,1
757,14,UK,desktop,True,6
758,20,UK,mobile,True,1
759,19,US,desktop,True,5
760,8,DE,mobile,True,3
761,10,FR,mobile,True,4
762,9,FR,desktop,True,6
763,18,US,mobile,True,4
764,2,FR,desktop,True,5
765,15,CA,desktop,True,7
766,18,US,mobile,True,6
767,20,US,mobile,True,4
768,10,US,mobile,True,2
769,19,FR,mobile,True,1
770,7,CA,mobile,True,1
771,19,CA,desktop,True,2
772,7,US,mobile,True,2
773,11,CA,mobile,True,2
774,19,US,mobile,False,3
775,7,US,mobile,True,5
776,9,CA,mobile,True,4
777,18,US,desktop,True,3
778,18,DE,desktop,True,3
779,17,US,mobile,False,3
780,17,CA,tablet,True,0
781,14,UK,mobile,True,2
782,9,UK,desktop,True,5
783,10,US,desktop,True,14
784,8,US,desktop,True,5
785,20,FR,mobile,True,7
786,15,US,mobile,True,4
787,12,DE,mobile,True,2
788,13,AU,desktop,True,4
789,21,US,mobile,False,3
790,8,US,desktop,True,6
791,15,CA,mobile,True,1
792,13,AU,desktop,True,6
793,16,FR,mobile,True,3
794,0,UK,mobile,True,3
795,20,DE,mobile,True,3
796,21,US,mobile,True,3
797,15,AU,mobile,True,5
798,17,AU,desktop,True,7
799,21,US,mobile,True,2
800,18,US,mobile,True,4
801,8,US,desktop,True,7
802,15,US,mobile,True,1
803,16,DE,desktop,True,5
804,12,US,tablet,True,1
805,18,US,mobile,True,3
806,21,US,mobile,True,2
807,21,AU,mobile,True,5
808,12,CA,desktop,True,8
809,7,UK,mobile,True,1
810,23,US,desktop,True,4
811,19,AU,desktop,True,6
812,7,DE,mobile,True,3
813,21,US,desktop,True,5
814,20,US,desktop,True,10
815,14,US,mobile,True,3
816,16,US,desktop,True,3
817,11,UK,desktop,True,6
818,4,FR,mobile,True,0
819,10,UK,mobile,True,1
820,19,DE,mobile,True,3
821,0,UK,mobile,True,1
822,10,CA,tablet,True,1
823,11,CA,mobile,True,5
824,14,US,desktop,True,5
825,21,US,mobile,True,5
826,10,CA,mobile,True,3
827,10,US,desktop,True,3
828,18,US,desktop,True,4
829,12,UK,mobile,True,7
830,9,AU,mobile,True,2
831,12,UK,mobile,True,4
832,7,DE,mobile,True,2
833,8,UK,mobile,True,3
834,13,DE,mobile,True,2
835,12,UK,tablet,True,2
836,21,FR,mobile,True,8
837,11,UK,desktop,True,7
838,15,CA,desktop,True,8
839,16,CA,mobile,True,5
840,0,UK,desktop,True,4
841,17,US,mobile,True,1
842,8,US,desktop,True,5
843,22,US,mobile,True,3
844,7,FR,mobile,True,5
845,12,US,desktop,True,1
846,6,US,mobile,True,1
847,23,CA,desktop,True,3
848,13,US,desktop,True,6
849,16,UK,mobile,True,5
850,5,US,mobile,True,6
851,18,AU,mobile,True,4
852,8,FR,desktop,True,4
853,20,FR,desktop,True,8
854,8,UK,mobile,True,3
855,8,DE,mobile,True,5
856,2,US,desktop,True,9
857,13,US,mobile,True,4
858,15,US,desktop,True,6
859,5,UK,desktop,True,8
860,18,UK,desktop,True,9
861,12,UK,mobile,False,5
862,14,US,mobile,True,1
863,12,UK,mobile,True,3
864,12,CA,mobile,True,5
865,15,UK,tablet,True,2
866,8,CA,mobile,True,6
867,8,US,desktop,True,6
868,20,DE,mobile,True,4
869,21,UK,mobile,True,6
870,11,US,mobile,True,1
871,9,US,desktop,True,3
872,17,CA,mobile,True,1
873,12,DE,mobile,True,3
874,1,UK,desktop,True,8
875,8,US,mobile,True,2
876,18,FR,mobile,True,2
877,17,CA,mobile,True,3
878,1,UK,mobile,True,5
879,9,UK,desktop,True,3
880,9,US,mobile,True,2
881,17,CA,mobile,True,5
882,0,US,mobile,True,1
883,6,AU,desktop,True,4
884,19,UK,mobile,True,4
885,8,UK,desktop,True,6
886,17,UK,mobile,True,4
887,9,FR,mobile,True,4
888,6,DE,desktop,True,4
889,9,UK,mobile,True,0
890,18,CA,desktop,True,6
891,20,UK,mobile,True,3
892,19,UK,desktop,True,5
893,11,US,mobile,True,1
894,17,UK,desktop,True,5
895,8,US,mobile,True,3
896,10,FR,mobile,True,6
897,20,US,mobile,True,6
898,0,AU,mobile,True,2
899,6,UK,mobile,True,7
900,8,CA,mobile,True,1
901,1,UK,mobile,True,2
902,8,US,desktop,True,4
903,15,US,desktop,True,6
904,12,US,desktop,True,2
905,20,CA,mobile,True,2
906,19,UK,mobile,True,1
907,10,DE,mobile,True,1
908,9,US,desktop,True,7
909,11,US,mobile,True,1
910,16,UK,mobile,True,1
911,9,FR,desktop,True,7
912,16,CA,mobile,True,3
913,12,UK,desktop,True,7
914,15,UK,desktop,True,7
915,12,US,mobile,True,3
916,10,AU,mobile,True,4
917,21,CA,mobile,True,3
918,18,US,desktop,True,3
919,7,UK,mobile,True,2
920,20,US,desktop,True,5
921,13,AU,mobile,True,4
922,20,US,mobile,True,3
923,19,CA,mobile,True,3
924,12,US,desktop,True,6
925,1,CA,mobile,True,4
926,9,DE,desktop,True,3
927,14,CA,mobile,True,2
928,16,CA,mobile,True,6
929,9,FR,desktop,True,9
930,7,US,desktop,True,7
931,19,US,mobile,True,3
932,23,US,mobile,True,4
933,14,AU,desktop,True,8
934,8,US,mobile,True,6
935,9,CA,mobile,True,1
936,0,CA,desktop,True,3
937,21,US,mobile,True,2
938,7,US,mobile,True,4
939,15,US,mobile,True,5
940,9,UK,desktop,True,4
941,15,US,desktop,True,7
942,17,US,mobile,True,5
943,19,FR,mobile,True,2
944,8,AU,mobile,True,5
945,0,US,desktop,True,4
946,7,US,mobile,True,2
947,20,US,desktop,True,8
948,20,CA,mobile,True,2
949,16,DE,tablet,True,3
950,16,US,mobile,True,1
951,17,US,desktop,True,4
952,8,DE,mobile,True,1
953,21,CA,mobile,True,2
954,12,US,desktop,True,6
